,task_id,participant_id,citation_design,context_stakeness,source_reliability,task_duration,task_num_clicks,task_num_sr_clicks,task_num_aio_clicks,task_num_cd_clicks,task_show_more_clicks,task_num_external_clicks,task_time_aio,task_time_sr,task_time_cd,task_time_sr_aio,task_time_fraction_sr,task_time_fraction_aio,task_time_fraction_cd,task_num_mouse_movements,task_num_scrolls,task_num_down_scrolls,task_num_up_scrolls,task_median_scroll_duration,task_median_up_scroll_duration,task_median_down_scroll_duration,task_median_scroll_distance,task_median_up_scroll_distance,task_median_down_scroll_distance
40,1,5a21800f8c1e5c0001713d89,icon,low,high_reliability,9138,0,0,0,0,0,0,1.9052000000476836,0.0666000000238418,0.0,1.9718000000715257,0.0337762450661456,0.9662237549338544,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
41,1,5a44d679f7b7bc00014e020e,number,high,high_reliability,121306,3,2,1,0,1,2,27.8795000000596,24.846599999904633,0.0,52.726099999964234,0.4712391016957728,0.5287608983042271,0.0,2,15,10,5,0.3270999999642363,0.3107000000476745,0.4211000000238414,171.0,-444.0,236.5
42,1,5a453d59b77a5000014a85c7,icon,low,original,57420,1,1,0,0,0,1,0.0,23.09720000001788,0.0,23.09720000001788,1.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,1,5a4698b97a3e3a0001dd564e,number,high,original,26537,0,0,0,0,0,0,5.7110999999940395,14.43709999999404,0.0,20.148199999988076,0.7165453985965289,0.2834546014034712,0.0,0,7,5,2,0.3900000000000005,0.3204499999880799,0.3981000000238426,198.0,-569.5,198.0
44,1,5a47473899311d0001df550e,domain,high,original,44539,2,2,0,0,0,2,15.03359999999404,1.744899999976158,0.5005,16.778499999970197,0.1039961855934235,0.8960038144065765,0.0298298417618314,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
45,1,5a4fa20276d1c60001aa8d00,number,low,high_reliability,158666,4,4,0,0,0,4,3.1383999999910595,100.7635000000149,0.0,103.90190000000597,0.9697945850846724,0.0302054149153276,0.0,4,9,7,2,0.7916000000089412,0.3264499999955266,0.8858999999910679,146.0,-628.5,197.0
46,1,5a6725d4c0d836000107f6e7,domain,high,high_reliability,12267,0,0,0,0,0,0,3.6715,0.0,0.0,3.6715,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
47,1,5a6879cdc0d8360001081410,domain,high,original,71739,0,0,0,0,0,0,7.619100000008941,24.717200000017883,1.0008000000119208,32.336300000026824,0.7643793507605192,0.2356206492394807,0.0309497376017383,0,18,15,3,0.337499999992545,0.3560999999940435,0.3368999999910542,98.4000129699707,-498.4000244140625,98.4000244140625
48,1,5a6adef80384310001944ba8,domain,high,low_reliability,51420,0,0,0,0,0,0,0.6161000003814697,7.747499999523163,0.0667999999523162,8.363599999904633,0.9263355492385462,0.0736644507614538,0.0079869912421777,0,2,1,1,0.4038999999761543,0.360799999952313,0.4469999999999956,-0.5,-199.0,198.0
49,1,5a6b6b34d5d4cb0001d64b8f,number,high,low_reliability,46249,0,0,0,0,0,0,1.463800000011921,33.661499999940396,0.0,35.12529999995232,0.9583263345789528,0.0416736654210471,0.0,0,5,4,1,0.4425000000000025,0.6333999999761559,0.4270000000000014,196.0,-899.0,247.5
50,1,5a991dd86475f900019fe4b6,icon,high,low_reliability,71394,0,0,0,0,0,0,0.0,25.637300000011923,0.0,25.637300000011923,1.0,0.0,0.0,0,5,4,1,0.38959999999404,0.4639999999999986,0.366900000005959,98.0,-906.0,198.5
52,1,5ab782fe47a9f70001539d00,number,low,high_reliability,17536,1,0,1,0,1,0,7.831,0.049699999988079,0.0,7.880699999988079,0.006306546371281,0.993693453628719,0.0,0,3,2,1,0.37069999998808,0.6485000000000003,0.3491999999880795,299.0,-699.0,349.0
53,1,5abf31f8436f550001ffa822,number,high,low_reliability,72764,2,2,0,0,0,2,4.648499998092651,22.895900001525877,0.0,27.54439999961852,0.8312361133966606,0.1687638866033397,0.0,2,8,6,2,0.4043500003814628,0.2613000001907322,0.4217499999999994,131.19998168945312,-520.7999954223633,167.60000610351562
54,1,5adc2601dee8590001b01ba1,number,high,original,38620,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,4,1,0.3479999999999998,0.3270000000000017,0.3735000000000004,215.99996948242188,-1146.0,261.66664123535156
